date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2024-10-23,31.91,32.34,31.75,32.29,67349.0,34.11481149782705,35.87220998847221,37.28570104342453,23.20150439101846,0
2024-10-22,31.87,32.05,31.74,32.0,128800.0,33.73030031640395,35.50342808480819,36.899235915038155,22.39375558689254,0
2024-10-21,32.26,32.4,31.86,32.09,52714.0,33.432063895239594,35.178339695778845,36.673411368866105,23.28636595994338,0
2024-10-18,32.4,32.74,32.06,32.35,75361.0,33.23532500519603,34.90897401046657,36.44038611461134,25.936601187248854,0
2024-10-17,31.52,32.36,31.5,32.35,83032.0,33.07435682243312,34.66526219994594,36.21841981934257,25.936601187248854,0
2024-10-16,31.33,31.61,31.15,31.46,74521.0,32.78083740017255,34.359999133284425,35.980081036553074,22.808412442686034,0
2024-10-15,30.9,31.26,30.8,31.01,52358.0,32.45886696377754,34.04095159678114,35.73478036693452,21.402824066692958,0
2024-10-14,30.81,30.99,30.6,30.86,28959.0,32.16816387945435,33.73800382565913,35.43765230351347,20.939596040593642,0
2024-10-11,30.66,31.11,30.45,30.84,38676.0,31.926679537735374,33.46200346131064,35.17827337542511,20.87472245899437,0
2024-10-10,30.15,30.86,30.15,30.67,66682.0,31.698192349056214,33.196098369757244,34.8654761787276,20.299045558065913,0
2024-10-09,30.81,31.03,30.35,30.35,71185.0,31.453066467409627,32.92504138216132,34.150502206749245,19.22432645903605,0
2024-10-08,31.4,31.4,30.63,30.68,133338.0,31.312508927880604,32.711227917193575,33.669150888558335,23.710077506347957,0
2024-10-07,31.73,31.84,31.11,31.2,70620.0,31.292052759175036,32.567301448889424,33.31705417740028,30.280356674981334,0
2024-10-04,32.12,32.13,31.6,31.92,48814.0,31.406224984779573,32.50565369185234,32.940554276798636,38.21477538911415,0
2024-10-03,32.17,32.24,31.65,31.71,54779.0,31.46145680572874,32.429877149771166,31.67036636740616,36.89588303921454,0
2024-10-02,32.66,32.72,32.39,32.43,50201.0,31.637555568323513,32.42988884979296,31.65384942981174,44.028412114784715,0
2024-10-01,32.61,32.88,32.36,32.75,71239.0,31.839818192264694,32.460375626003156,31.68683102564385,46.90100652435956,0
2024-09-30,32.78,32.92,32.42,32.83,76224.0,32.01985124821657,32.49557794733619,31.71360402069338,47.62470532784566,0
2024-09-27,33.01,33.23,32.65,32.82,54985.0,32.16533283944992,32.52647528568512,31.74406160547156,47.537488057281244,0
2024-09-26,33.19,33.36,32.84,32.91,68193.0,32.30072686864084,32.56300144895321,31.778330350942593,48.45245492884857,0
2024-09-25,33.09,33.09,32.69,32.78,69037.0,32.38786743797886,32.58366797762433,31.803658066842953,47.17268353668918,0
2024-09-24,32.89,33.18,32.74,33.08,66183.0,32.5137097219827,32.63093769404106,31.848936356104076,50.4267511973668,0
2024-09-23,33.01,33.18,32.55,32.95,78635.0,32.593035227076754,32.66132458032286,31.90435532946943,49.017696953033735,0
2024-09-20,33.22,33.35,32.85,32.93,269124.0,32.654301549426435,32.68691271553021,32.06314741106311,48.79181319335827,0
2024-09-19,33.52,33.59,32.89,33.38,101510.0,32.78624672225799,32.75292102833686,32.1342393624904,53.935405724171,0
2024-09-18,33.17,33.64,32.69,32.85,85747.0,32.797838227301995,32.76216664468573,32.20595160646815,47.84045126116354,0
2024-09-17,33.23,33.61,32.82,33.16,130900.0,32.86368582233799,32.80005553566804,32.320629902429985,51.30652495497548,0
2024-09-16,33.14,33.39,32.89,32.9,113425.0,32.87028840009472,32.809574056080606,32.38344678123893,48.40144157954814,0
2024-09-13,32.7,33.09,32.55,33.02,114313.0,32.89750869098659,32.829614622168165,32.45723550999536,49.8138568462759,0
2024-09-12,32.29,32.47,32.07,32.38,70281.0,32.8034162017163,32.786794181961675,32.52047349439855,43.046136229776785,0
2024-09-11,32.07,32.19,31.68,32.1,69730.0,32.67552234685879,32.721385212251036,32.59012634661972,40.456474556747324,0
2024-09-10,32.35,32.43,31.99,32.33,80203.0,32.61270010197537,32.68411043013189,32.724191909723,43.46517791860021,0
2024-09-09,32.19,32.68,32.12,32.2,78044.0,32.53766371979803,32.63800467488123,32.76228831098097,42.168207222573756,0
2024-09-06,33.03,33.03,32.15,32.33,104267.0,32.49990667983475,32.608670896321115,32.76009799559496,43.96875101532546,0
2024-09-05,33.01,33.38,32.86,33.02,88849.0,32.594469101682975,32.64784509667149,32.803884747622334,52.43374104349377,0
2024-09-04,32.87,33.09,32.67,33.01,92675.0,32.67002017410425,32.68233603984564,32.823990843953275,52.31039655382821,0
2024-09-03,32.87,33.18,32.56,32.81,91631.0,32.69547105153984,32.69449451224129,32.82608597572633,49.78780704976954,0
2024-08-30,33.0,33.29,32.77,33.15,173153.0,32.778112678532594,32.73787598726593,32.85396780924441,53.86121865359112,0
2024-08-29,33.09,33.1,32.6,32.89,89580.0,32.7984558278903,32.7523639884787,32.856471141941945,50.488204614906344,0
2024-08-28,32.53,33.07,32.53,32.88,96508.0,32.81328204100115,32.76451979909977,32.85580267904516,50.35758205887842,0
2024-08-27,32.39,32.86,32.34,32.66,69704.0,32.78541257900094,32.75456553251884,32.8517265369864,47.44911763799029,0
2024-08-26,32.65,32.88,32.23,32.52,129422.0,32.737155746455315,32.732225957993236,32.824448016897115,45.64253160003832,0
2024-08-23,31.53,32.36,31.47,32.3,87942.0,32.65767288346344,32.691061581041495,32.79824606178358,42.879657202025776,0
2024-08-22,31.46,31.64,31.27,31.35,76167.0,32.41991417737918,32.56334143046612,32.72326515610959,33.46054389852195,0
2024-08-21,31.52,31.53,31.13,31.44,52010.0,32.24174796331023,32.45635653232649,32.65284859051036,34.919076072302246,0
2024-08-20,31.24,31.34,31.04,31.33,73627.0,32.075975606344734,32.34908448162873,32.592127897383754,33.93985311956524,0
2024-08-19,31.26,31.48,31.02,31.3,80542.0,31.934889132463873,32.24917167385456,32.494749122988004,33.6625979050193,0
2024-08-16,31.25,31.75,31.25,31.43,132254.0,31.843091108379532,32.17115532396365,32.39383458983782,36.098650039456615,0
